Name,Reopening Plan,Unnamed: 2
Ocean County College,Primarily online,
University of New Orleans,Hybrid,
Adelphi University,Primarily online,
University of Southern Maine,Primarily online,
Paradise Valley Community College,Primarily online,
Northeastern Illinois University,Primarily online,
Middlesex Community College,Hybrid,
Delta College,Primarily online,
Columbus State University,Primarily in person,
Kalamazoo Valley Community College,Primarily online,
University of La Verne,Primarily in person,
Edmonds Community College,Primarily online,
Cedar Valley College,Primarily online,
Monterey Peninsula College,Fully online,
University of New England,Hybrid,
New Jersey City University,Hybrid,
State University of New York College at Oswego,Fully online,
Community College of Aurora,Primarily online,
NorthWest Arkansas Community CollegeBenton County? AR,Primarily online,
Humboldt State University,Primarily online,
Pepperdine University,Fully online,
Waukesha County Technical College,Primarily online,
Everett Community College,Primarily online,
Regis University,Hybrid,
Rensselaer Polytechnic Institute,Primarily online,
Community College of Denver,Hybrid,
Raritan Valley Community College,Primarily online,
Texas A&M International University,Primarily in person,
Northeastern State University,Hybrid,
New Mexico State University Dona Ana Community College,Primarily online,
Fairleigh Dickinson University,Primarily online,
Metropolitan State University,Primarily online,
West Valley College,Primarily online,
Middle Georgia State University,Primarily in person,
Winona State University,Primarily online,
Thomas Jefferson University,Hybrid,
Mission College,Primarily online,
Forsyth Technical Community College,Primarily online,
Tennessee State University,Hybrid,
Lee College,Primarily online,
Eastern Iowa Community College District Central Office,Primarily in person,
Rhode Island College,Primarily online,
Clovis Community College (Calif.),Primarily online,
Bucks County Community College,Primarily online,
Millersville University of Pennsylvania,Primarily online,
Mott Community College,Primarily online,
Morgan State University,Fully online,
College of New Jersey,Primarily online,
Mercer County Community College,Primarily online,
Thomas Nelson Community College,Primarily online,
City Colleges of Chicago Harry S. Truman College,Primarily online,
McNeese State UniversityCalcasieu Parish? LA,Primarily in person,
Chippewa Valley Technical College,Primarily online,
Colorado Christian University,Primarily in person,
Northwest Mississippi Community College,Primarily in person,
State University of New York at New Paltz,Primarily online,
Northern Michigan University,Primarily in person,
Saint Joseph's University (Pa.),Hybrid,
Gonzaga University,Hybrid,
County College of Morris,Primarily online,
California State University-Monterey Bay,Primarily online,
University of Michigan at Flint,Primarily online,
Eastern Illinois University,Primarily in person,
Essex County College,Primarily online,
St. Johns River State College,Hybrid,
University of North Alabama,Hybrid,
California State University-Channel Islands,Primarily online,
Merritt College,Primarily online,
Arizona Western College,Primarily online,
Rose State College,Undetermined,
Coastal Alabama Community College,Fully online,
Oxnard College,Fully online,
University of Alaska at Fairbanks,Hybrid,
Red Rocks Community College,Primarily online,
Johnson & Wales University (R.IProvidence County? RI,Primarily online,
Hostos Community College-City University of New York,Primarily in person,
Yavapai College,Primarily online,
California University of Pennsylvania,Fully online,
Seattle University,Primarily online,
Quinsigamond Community College,Primarily online,
Jackson State University,Primarily online,
Bristol Community College,Hybrid,
Germanna Community College,Primarily online,
Fitchburg State University,Primarily in person,
Contra Costa College,Primarily online,
Barry University,Hybrid,
Suffolk University,Primarily online,
West Georgia Technical College-Murphy Campus,Fully in person,
New York Institute of Technology,Primarily online,
Michigan Technological University,Primarily in person,
Rutgers University at Camden,Primarily online,
Southwest Minnesota State University,Primarily online,
University of North Carolina at Pembroke,Primarily in person,
Texas Southmost College,Fully online,
Rowan College-Gloucester County,Primarily online,
Xavier University (Ohio),Primarily in person,
Rice University,Hybrid,
Lehigh Carbon Community College,Primarily online,
City Colleges of Chicago Malcolm X College,Primarily online,
Odessa College,Undetermined,
Parkland College,Primarily online,
MCPHS University,Hybrid,
University of Tennessee at Martin,Hybrid,
El Camino College at Compton (Calif.),Primarily online,
Clayton State University,Primarily in person,
Gateway Technical College,Primarily in person,
Louisiana State University at Shreveport,Primarily in person,
Columbia Basin College,Primarily online,
McHenry County CollegeMcHenry County? IL,Hybrid,
Gateway Community College (Conn.),Primarily in person,
Massasoit Community College,Primarily online,
Elon University,Primarily in person,
Georgia College and State University,Primarily in person,
Berklee College of Music,Fully online,
Minneapolis Community and Technical College,Primarily online,
City Colleges of Chicago Richard J. Daley College,Primarily online,
Stevens Institute of Technology,Hybrid,
Saint Paul College,Primarily online,
College of Southern Idaho,Primarily online,
Kapiolani Community College,Primarily in person,
Southwest Texas Junior College,Primarily online,
Asheville-Buncombe Technical Community College,Primarily online,
Motlow State Community College,Primarily online,
College of Southern Maryland,Primarily online,
Worcester Polytechnic Institute,Hybrid,
University of New Haven,Primarily in person,
Lakeland Community College,Primarily online,
Rockland Community College,Primarily online,
State University of New York College at Cortland,Primarily online,
Northwest Missouri State University,Hybrid,
Lehigh University,Primarily online,
Virginia Western Community College,Primarily online,
Columbia College Chicago,Primarily online,
College of Central Florida,Primarily online,
Seattle Central College,Primarily online,
Lord Fairfax Community College,Primarily online,
Horry-Georgetown Technical College,Primarily in person,
University of Hartford,Primarily in person,
Wharton County Junior College,Primarily online,
Illinois Institute of Technology,Hybrid,
Davenport University,Hybrid,
Colorado State University at Pueblo,Primarily in person,
University of Hawaii Leeward Community College,Primarily online,
Lewis and Clark Community College,Hybrid,
Southern University,Hybrid,
San Juan College,Primarily online,
City University of New York Medgar Evers College,Primarily online,
Ashland University,Hybrid,
Pittsburg State University,Hybrid,
Marist College,Primarily in person,
Widener University,Primarily online,
Olympic College,Primarily online,
Orange County Community College,Primarily online,
Embry-Riddle Aeronautical University at Daytona Beach (Fla.),Fully in person,
Bossier Parish Community College,Primarily online,
Dartmouth College,Primarily online,
Washburn University,Hybrid,
Texas A&M University at San Antonio,Primarily in person,
